名前,生年,没年,肩書,期間,継承,朝代更换,メモ
宋寧宗趙擴,1168,1224,南宋,1194-1224,宋光宗趙惇,,
宋理宗趙昀,1205,1264,南宋,1224-1264,宋寧宗趙擴,,
宋度宗趙禥,1240,1274,南宋,1264-1274,宋理宗趙昀,,
宋恭帝趙㬎,1271,1323,南宋,1274-1276,宋度宗趙禥,,降元
宋端宗趙昰,1269,1278,南宋,1276-1278,宋恭帝趙㬎,,
宋帝昺趙昺,1272,1279,南宋,1278-1279,宋端宗趙昰,,崖山→元
金太祖完顏阿骨打,1068,1123,金,1115-1123,,遼天祚帝耶律延禧,滅遼
金太宗完顏吳乞買,1075,1135,金,1123-1135,金太祖完顏阿骨打,宋欽宗趙桓,靖康之變(1127)
金熙宗完顏亶,1119,1149,金,1135-1149,金太宗完顏吳乞買,,
海陵王完顏亮,1122,1161,金,1149-1161,金熙宗完顏亶,,
金世宗完顏雍,1123,1189,金,1161-1189,海陵王完顏亮,,
金章宗完顏璟,1168,1208,金,1189-1208,金世宗完顏雍,,
衛紹王完顏永濟,1153,1213,金,1208-1213,金章宗完顏璟,,
金宣宗完顏珣,1163,1223,金,1213-1223,衛紹王完顏永濟,,
金哀宗完顏守緒,1198,1234,金,1224-1234,金宣宗完顏珣,,金滅→元
元太祖成吉思汗,1162,1227,元,1206-1227,,,
元太宗窩闊台,1186,1241,元,1229-1241,元太祖成吉思汗,金哀宗完顏守緒,金滅(1234)
元定宗貴由,1206,1248,元,1246-1248,元太宗窩闊台,,
元憲宗蒙哥,1209,1259,元,1251-1259,元定宗貴由,,
元世祖忽必烈,1215,1294,元,1260-1294,元憲宗蒙哥,宋帝昺趙昺,宋滅(崖山1279)
元成宗鐵穆耳,1265,1307,元,1294-1307,元世祖忽必烈,,
元武宗海山,1281,1311,元,1307-1311,元成宗鐵穆耳,,
元仁宗愛育黎拔力八達,1285,1320,元,1311-1320,元武宗海山,,
元英宗碩德八剌,1302,1323,元,1320-1323,元仁宗愛育黎拔力八達,,
泰定帝也孫鐵木兒,1293,1328,元,1323-1328,元英宗碩德八剌,,
天順帝阿速吉八,1320,1328,元,1328,泰定帝也孫鐵木兒,,
元文宗圖帖睦爾,1304,1332,元,1328-1332,天順帝阿速吉八;元明宗和世㻋,,
元明宗和世㻋,1300,1329,元,1329,元文宗圖帖睦爾,,
元寧宗懿璘質班,1326,1332,元,1332,元文宗圖帖睦爾,,
元惠宗妥懽帖睦爾,1320,1370,元,1333-1368,元寧宗懿璘質班,,北遷→明
明太祖朱元璋,1328,1398,明,1368-1398,,元惠宗妥懽帖睦爾,
明惠帝朱允炆,1377,1402,明,1398-1402,明太祖朱元璋,,
明成祖朱棣,1360,1424,明,1402-1424,明惠帝朱允炆,,靖難之變
明仁宗朱高熾,1378,1425,明,1424-1425,明成祖朱棣,,
明宣宗朱瞻基,1399,1435,明,1425-1435,明仁宗朱高熾,,
明英宗朱祁鎮,1427,1464,明,1435-1464,明宣宗朱瞻基;明代宗朱祁鈺,,2度即位(1435-1449;1457-1464)
明代宗朱祁鈺,1428,1457,明,1449-1457,明英宗朱祁鎮,,土木之變
明憲宗朱見深,1447,1487,明,1464-1487,明英宗朱祁鎮,,
明孝宗朱祐樘,1470,1505,明,1487-1505,明憲宗朱見深,,
明武宗朱厚照,1491,1521,明,1505-1521,明孝宗朱祐樘,,
明世宗朱厚熜,1507,1567,明,1521-1567,明武宗朱厚照,,
明穆宗朱載坖,1537,1572,明,1567-1572,明世宗朱厚熜,,
明神宗朱翊鈞,1563,1620,明,1572-1620,明穆宗朱載坖,,
明光宗朱常洛,1582,1620,明,1620,明神宗朱翊鈞,,
明熹宗朱由校,1605,1627,明,1620-1627,明光宗朱常洛,,
明思宗朱由檢,1611,1644,明,1627-1644,明熹宗朱由校,,明滅→清
清太祖努爾哈赤,1559,1626,清,1616-1626,,,
清太宗皇太極,1592,1643,清,1626-1643,清太祖努爾哈赤,,
清世祖福臨,1638,1661,清,1643-1661,清太宗皇太極,明思宗朱由檢,明清易代(1644)
清聖祖玄燁,1654,1722,清,1661-1722,清世祖福臨,,
清世宗胤禛,1678,1735,清,1722-1735,清聖祖玄燁,,
清高宗弘曆,1711,1799,清,1735-1796,清世宗胤禛,,
清仁宗顒琰,1760,1820,清,1796-1820,清高宗弘曆,,
清宣宗旻寧,1782,1850,清,1820-1850,清仁宗顒琰,,
清文宗奕詝,1831,1861,清,1850-1861,清宣宗旻寧,,
清穆宗載淳,1856,1874,清,1861-1874,清文宗奕詝,,
清德宗載湉,1871,1908,清,1874-1908,清穆宗載淳,,從弟継承
清宣統帝溥儀,1906,1967,清,1908-1912,清德宗載湉,,退位
